Ticker,DividendDate,PayDate,Type,Value,Currency
.SPX,2017-03-08,2017-03-08,DISCRETE,0.691154,USD
.SPX,2017-03-09,2017-03-09,DISCRETE,0.107709384,USD
.SPX,2017-03-10,2017-03-10,DISCRETE,0.107707107,USD
.SPX,2017-03-13,2017-03-13,DISCRETE,0.323115417,USD
.SPX,2017-03-14,2017-03-14,DISCRETE,0.107698,USD
.SPX,2017-03-15,2017-03-15,DISCRETE,0.107695724,USD
.SPX,2017-03-16,2017-03-16,DISCRETE,0.107693457,USD
.SPX,2017-03-17,2017-03-17,DISCRETE,0.107691208,USD
.SPX,2017-03-20,2017-03-20,DISCRETE,0.32306831,USD
.SPX,2017-03-21,2017-03-21,DISCRETE,0.107682402,USD
.SPX,2017-03-22,2017-03-22,DISCRETE,0.107680248,USD
.SPX,2017-03-23,2017-03-23,DISCRETE,0.107678112,USD
.SPX,2017-03-24,2017-03-24,DISCRETE,0.107675995,USD
.SPX,2017-03-27,2017-03-27,DISCRETE,0.323023851,USD
.SPX,2017-03-28,2017-03-28,DISCRETE,0.107667714,USD
.SPX,2017-03-29,2017-03-29,DISCRETE,0.107665691,USD
.SPX,2017-03-30,2017-03-30,DISCRETE,0.107663687,USD
.SPX,2017-03-31,2017-03-31,DISCRETE,0.107661701,USD
.SPX,2017-04-03,2017-04-03,DISCRETE,0.32298215,USD
.SPX,2017-04-04,2017-04-04,DISCRETE,0.107653946,USD
.SPX,2017-04-05,2017-04-05,DISCRETE,0.107652054,USD
.SPX,2017-04-06,2017-04-06,DISCRETE,0.107650181,USD
.SPX,2017-04-07,2017-04-07,DISCRETE,0.107648327,USD
.SPX,2017-04-10,2017-04-10,DISCRETE,0.322943206,USD
.SPX,2017-04-11,2017-04-11,DISCRETE,0.107641097,USD
.SPX,2017-04-12,2017-04-12,DISCRETE,0.107639336,USD
.SPX,2017-04-13,2017-04-13,DISCRETE,0.107637594,USD
.SPX,2017-04-14,2017-04-14,DISCRETE,0.107635871,USD
.SPX,2017-04-17,2017-04-17,DISCRETE,0.322907018,USD
.SPX,2017-04-18,2017-04-18,DISCRETE,0.107629166,USD
.SPX,2017-04-19,2017-04-19,DISCRETE,0.107627536,USD
.SPX,2017-04-20,2017-04-20,DISCRETE,0.107625926,USD
.SPX,2017-04-21,2017-04-21,DISCRETE,0.107624334,USD
.SPX,2017-04-24,2017-04-24,DISCRETE,0.322873586,USD
.SPX,2017-04-25,2017-04-25,DISCRETE,0.107618153,USD
.SPX,2017-04-26,2017-04-26,DISCRETE,0.107616655,USD
.SPX,2017-04-27,2017-04-27,DISCRETE,0.107615176,USD
.SPX,2017-04-28,2017-04-28,DISCRETE,0.107613715,USD
.SPX,2017-05-01,2017-05-01,DISCRETE,0.322842908,USD
.SPX,2017-05-02,2017-05-02,DISCRETE,0.107608059,USD
.SPX,2017-05-03,2017-05-03,DISCRETE,0.107606692,USD
.SPX,2017-05-04,2017-05-04,DISCRETE,0.107605344,USD
.SPX,2017-05-05,2017-05-05,DISCRETE,0.107604014,USD
.SPX,2017-05-08,2017-05-08,DISCRETE,0.322814984,USD
.SPX,2017-05-09,2017-05-09,DISCRETE,0.107598883,USD
.SPX,2017-05-10,2017-05-10,DISCRETE,0.107597647,USD
.SPX,2017-05-11,2017-05-11,DISCRETE,0.107596429,USD
.SPX,2017-05-12,2017-05-12,DISCRETE,0.107595231,USD
.SPX,2017-05-15,2017-05-15,DISCRETE,0.322789813,USD
.SPX,2017-05-16,2017-05-16,DISCRETE,0.107590624,USD
.SPX,2017-05-17,2017-05-17,DISCRETE,0.107589519,USD
.SPX,2017-05-18,2017-05-18,DISCRETE,0.107588433,USD
.SPX,2017-05-19,2017-05-19,DISCRETE,0.107587365,USD
.SPX,2017-05-22,2017-05-22,DISCRETE,0.378788961,USD
.SPX,2017-05-23,2017-05-23,DISCRETE,0.127176283,USD
.SPX,2017-05-24,2017-05-24,DISCRETE,0.127635147,USD
.SPX,2017-05-25,2017-05-25,DISCRETE,0.128093993,USD
.SPX,2017-05-26,2017-05-26,DISCRETE,0.128552821,USD
.SPX,2017-05-30,2017-05-30,DISCRETE,0.518827907,USD
.SPX,2017-05-31,2017-05-31,DISCRETE,0.130846679,USD
.SPX,2017-06-01,2017-06-01,DISCRETE,0.131305395,USD
.SPX,2017-06-02,2017-06-02,DISCRETE,0.131764092,USD
.SPX,2017-06-05,2017-06-05,DISCRETE,0.398059408,USD
.SPX,2017-06-06,2017-06-06,DISCRETE,0.133598693,USD
.SPX,2017-06-07,2017-06-07,DISCRETE,0.134057296,USD
.SPX,2017-06-08,2017-06-08,DISCRETE,0.13451588,USD
.SPX,2017-06-09,2017-06-09,DISCRETE,0.134974446,USD
.SPX,2017-06-12,2017-06-12,DISCRETE,0.40769054,USD
.SPX,2017-06-13,2017-06-13,DISCRETE,0.136808518,USD
.SPX,2017-06-14,2017-06-14,DISCRETE,0.137266989,USD
.SPX,2017-06-15,2017-06-15,DISCRETE,0.13772544,USD
.SPX,2017-06-16,2017-06-16,DISCRETE,0.13818308,USD
.SPX,2017-06-19,2017-06-19,DISCRETE,0.351649793,USD
.SPX,2017-06-20,2017-06-20,DISCRETE,0.11732763,USD
.SPX,2017-06-21,2017-06-21,DISCRETE,0.117385168,USD
.SPX,2017-06-22,2017-06-22,DISCRETE,0.117442708,USD
.SPX,2017-06-23,2017-06-23,DISCRETE,0.117500249,USD
.SPX,2017-06-26,2017-06-26,DISCRETE,0.352858297,USD
.SPX,2017-06-27,2017-06-27,DISCRETE,0.117730427,USD
.SPX,2017-06-28,2017-06-28,DISCRETE,0.117787975,USD
.SPX,2017-06-29,2017-06-29,DISCRETE,0.117845524,USD
.SPX,2017-06-30,2017-06-30,DISCRETE,0.117903074,USD
.SPX,2017-07-03,2017-07-03,DISCRETE,0.354066994,USD
.SPX,2017-07-05,2017-07-05,DISCRETE,0.236328307,USD
.SPX,2017-07-06,2017-07-06,DISCRETE,0.118248405,USD
.SPX,2017-07-07,2017-07-07,DISCRETE,0.118305965,USD
.SPX,2017-07-10,2017-07-10,DISCRETE,0.355275891,USD
.SPX,2017-07-11,2017-07-11,DISCRETE,0.118536218,USD
.SPX,2017-07-12,2017-07-12,DISCRETE,0.118593785,USD
.SPX,2017-07-13,2017-07-13,DISCRETE,0.118651353,USD
.SPX,2017-07-14,2017-07-14,DISCRETE,0.118708922,USD
.SPX,2017-07-17,2017-07-17,DISCRETE,0.35648499,USD
