ValuationDate,Currency,VolatilitySurfaceName,Expiry,Tenor,Strike,Volatility
6/26/2018,USD,USD_SwnVol,10Y,10Y,-1500,0.007633227
6/26/2018,USD,USD_SwnVol,10Y,10Y,-500,0.00768348
6/26/2018,USD,USD_SwnVol,10Y,10Y,-400,0.007703802
6/26/2018,USD,USD_SwnVol,10Y,10Y,-300,0.007734944
6/26/2018,USD,USD_SwnVol,10Y,10Y,-250,0.007734988
6/26/2018,USD,USD_SwnVol,10Y,10Y,-200,0.007624318
6/26/2018,USD,USD_SwnVol,10Y,10Y,-150,0.007485351
6/26/2018,USD,USD_SwnVol,10Y,10Y,-125,0.007420894
6/26/2018,USD,USD_SwnVol,10Y,10Y,-100,0.007366334
6/26/2018,USD,USD_SwnVol,10Y,10Y,-75,0.007326427
6/26/2018,USD,USD_SwnVol,10Y,10Y,-50,0.007305965
6/26/2018,USD,USD_SwnVol,10Y,10Y,-37.5,0.007304518
6/26/2018,USD,USD_SwnVol,10Y,10Y,-25,0.007309705
6/26/2018,USD,USD_SwnVol,10Y,10Y,-12.5,0.007322087
6/26/2018,USD,USD_SwnVol,10Y,10Y,0,0.007342196
6/26/2018,USD,USD_SwnVol,10Y,10Y,12.5,0.007318499
6/26/2018,USD,USD_SwnVol,10Y,10Y,25,0.007302979
6/26/2018,USD,USD_SwnVol,10Y,10Y,37.5,0.007295541
6/26/2018,USD,USD_SwnVol,10Y,10Y,50,0.007296039
6/26/2018,USD,USD_SwnVol,10Y,10Y,75,0.007320001
6/26/2018,USD,USD_SwnVol,10Y,10Y,100,0.007372735
6/26/2018,USD,USD_SwnVol,10Y,10Y,125,0.007451534
6/26/2018,USD,USD_SwnVol,10Y,10Y,150,0.007553366
6/26/2018,USD,USD_SwnVol,10Y,10Y,200,0.00781382
6/26/2018,USD,USD_SwnVol,10Y,10Y,250,0.00813145
6/26/2018,USD,USD_SwnVol,10Y,10Y,300,0.00848833
6/26/2018,USD,USD_SwnVol,10Y,10Y,400,0.009272016
6/26/2018,USD,USD_SwnVol,10Y,10Y,500,0.010102599
6/26/2018,USD,USD_SwnVol,10Y,10Y,1500,0.018409926
6/26/2018,USD,USD_SwnVol,10Y,12Y,-1500,0.0074935
6/26/2018,USD,USD_SwnVol,10Y,12Y,-500,0.007545392
6/26/2018,USD,USD_SwnVol,10Y,12Y,-400,0.007566564
6/26/2018,USD,USD_SwnVol,10Y,12Y,-300,0.007599161
6/26/2018,USD,USD_SwnVol,10Y,12Y,-250,0.007595843
6/26/2018,USD,USD_SwnVol,10Y,12Y,-200,0.00747907
6/26/2018,USD,USD_SwnVol,10Y,12Y,-150,0.007333317
6/26/2018,USD,USD_SwnVol,10Y,12Y,-125,0.007265386
6/26/2018,USD,USD_SwnVol,10Y,12Y,-100,0.00720744
6/26/2018,USD,USD_SwnVol,10Y,12Y,-75,0.007164414
6/26/2018,USD,USD_SwnVol,10Y,12Y,-50,0.00714135
6/26/2018,USD,USD_SwnVol,10Y,12Y,-37.5,0.007138894
6/26/2018,USD,USD_SwnVol,10Y,12Y,-25,0.00714333
